,state,city_href,room_href,review_number,review,room_title,room_description,room_address
0,alabama,/auburn,/auburn/quests/auburn-escape-zones-imprisoned,0,"This was so fun! We took our kids and we did the ""Imprisoned"" room. It was a surprise for all 5 of our kids, ranging from 10-15. We really had to work as a team and managed to escape with just a minute to spare! There were smiles the rest of the day and continual praise for the experience!The staff could not be more amazing! I already want to go back!","Escape room ""Imprisoned"" by Auburn Escape Zones in Auburn","Description:Your friend is being framed for a crime he didn't commit! He's held in a corrupt prison, and the warden has bribed the other inmates to hide the evidence needed to exonerate your friend. Determined to make things right, you've managed to sneak into the warden's office. With just an hour left before the death row, can you find the necessary proof to clear your friend's name?","1234 Commerce Dr Auburn, AL 36830 (Show on map)"
1,alabama,/auburn,/auburn/quests/auburn-escape-zones-imprisoned,1,"My husband and I just did the imprisoned challenge, and we will definitely be repeat customers. The staff was cheerful and helpful, and the clues they gave were great as well. We were floored by the details that went into our room, and we had a blast trying to keep track of all the clues. The puzzles were the right amount of challenging, and they throw in some fantastic twists that made it even better. We hadn't even left the parking lot before we started planning our next trip back. I can't recommend it enough!","Escape room ""Imprisoned"" by Auburn Escape Zones in Auburn","Description:Your friend is being framed for a crime he didn't commit! He's held in a corrupt prison, and the warden has bribed the other inmates to hide the evidence needed to exonerate your friend. Determined to make things right, you've managed to sneak into the warden's office. With just an hour left before the death row, can you find the necessary proof to clear your friend's name?","1234 Commerce Dr Auburn, AL 36830 (Show on map)"
2,alabama,/auburn,/auburn/quests/auburn-escape-zones-imprisoned,2,"We had a group of seven, which included five 13-year-olds, solving the ""Imprisoned"" room, and it was so great! The staff was very helpful and friendly, from the booking of the room and the party space to the end of the game and clean up. I highly recommend!","Escape room ""Imprisoned"" by Auburn Escape Zones in Auburn","Description:Your friend is being framed for a crime he didn't commit! He's held in a corrupt prison, and the warden has bribed the other inmates to hide the evidence needed to exonerate your friend. Determined to make things right, you've managed to sneak into the warden's office. With just an hour left before the death row, can you find the necessary proof to clear your friend's name?","1234 Commerce Dr Auburn, AL 36830 (Show on map)"
3,alabama,/auburn,/auburn/quests/auburn-escape-zones-imprisoned,3,I had the chance to visit Auburn Escape Zones with my coworkers. We had a large group so we broke into 2 teams. My team escaped the Prison room. It was so much fun and a great way to work together. They will be changing a few of the rooms soon so there will be new rooms to escape!I highly recommend fir families or friends looking for something to do in Auburn/Opelika!,"Escape room ""Imprisoned"" by Auburn Escape Zones in Auburn","Description:Your friend is being framed for a crime he didn't commit! He's held in a corrupt prison, and the warden has bribed the other inmates to hide the evidence needed to exonerate your friend. Determined to make things right, you've managed to sneak into the warden's office. With just an hour left before the death row, can you find the necessary proof to clear your friend's name?","1234 Commerce Dr Auburn, AL 36830 (Show on map)"
4,alabama,/auburn,/auburn/quests/auburn-escape-zones-imprisoned,4,"They said the difficulty of the Imprisoned room was ""medium,"" but it was definitely a hard medium. Looking forward to going back and trying another room! Had a lot of fun!","Escape room ""Imprisoned"" by Auburn Escape Zones in Auburn","Description:Your friend is being framed for a crime he didn't commit! He's held in a corrupt prison, and the warden has bribed the other inmates to hide the evidence needed to exonerate your friend. Determined to make things right, you've managed to sneak into the warden's office. With just an hour left before the death row, can you find the necessary proof to clear your friend's name?","1234 Commerce Dr Auburn, AL 36830 (Show on map)"
5,alabama,/auburn,/auburn/quests/auburn-escape-zones-the-cabin,0,Highly recommended! The staff here are very friendly. We did the Cabin room and had a blast.,"Escape room ""The Cabin"" by Auburn Escape Zones in Auburn","Description:You were returning from a trip to your uncle's hunting camp when one of your friends got bitten by a venomous snake, a Timber rattlesnake. There is no cell phone coverage, and each minute counts with your friend's life on the line! You remember that your uncle kept an anti-venom somewhere in his cabin. You have 60 minutes to find it and save your friend.","1234 Commerce Dr Auburn, AL 36830 (Show on map)"
6,alabama,/auburn,/auburn/quests/auburn-escape-zones-the-cabin,1,We had a spectacular time in the Cabin and saved our friend. The facility was very nice and is adding rooms that we're excited to visit. We'll be back up that way. Definitely worth an hour and a half drive.,"Escape room ""The Cabin"" by Auburn Escape Zones in Auburn","Description:You were returning from a trip to your uncle's hunting camp when one of your friends got bitten by a venomous snake, a Timber rattlesnake. There is no cell phone coverage, and each minute counts with your friend's life on the line! You remember that your uncle kept an anti-venom somewhere in his cabin. You have 60 minutes to find it and save your friend.","1234 Commerce Dr Auburn, AL 36830 (Show on map)"
7,alabama,/auburn,/auburn/quests/auburn-escape-zones-the-cabin,2,Escaped The Cabin and Blackbeard's Brig. Both really well done rooms. I would highly recommend The Cabin! Very friendly staff and excellent facilities!,"Escape room ""The Cabin"" by Auburn Escape Zones in Auburn","Description:You were returning from a trip to your uncle's hunting camp when one of your friends got bitten by a venomous snake, a Timber rattlesnake. There is no cell phone coverage, and each minute counts with your friend's life on the line! You remember that your uncle kept an anti-venom somewhere in his cabin. You have 60 minutes to find it and save your friend.","1234 Commerce Dr Auburn, AL 36830 (Show on map)"
8,alabama,/auburn,/auburn/quests/auburn-escape-zones-the-cabin,3,"Auburn Escape Zone is awesome!! I have completed the Cabin, Imprisoned, and tested the new Puzzle master room. All are unique and come with their own challenges. The staff are friendly and are interested in your opinions of the rooms and are constantly thinking of new and creative rooms. If you want a challenge and a fun time I HIGHLY suggest you give one of the rooms a try.","Escape room ""The Cabin"" by Auburn Escape Zones in Auburn","Description:You were returning from a trip to your uncle's hunting camp when one of your friends got bitten by a venomous snake, a Timber rattlesnake. There is no cell phone coverage, and each minute counts with your friend's life on the line! You remember that your uncle kept an anti-venom somewhere in his cabin. You have 60 minutes to find it and save your friend.","1234 Commerce Dr Auburn, AL 36830 (Show on map)"
9,alabama,/auburn,/auburn/quests/auburn-escape-zones-the-cabin,4,"I now have played all of the rooms at Auburn Escape Zones. As a huge fan of escape rooms, I can tell you this is top notch. Their puzzles and tasks are certainly challenging but not so overwhelming as to intimidate those new to escape rooms.  The Cabin room was a blast. The decor and immersive story really enhance the experience overall and it is my favorite room so far. So if you haven't tried Auburn Escape Zones, grab some friends and sign up for an hour of some of the best and most intense team building challenges you have ever faced!","Escape room ""The Cabin"" by Auburn Escape Zones in Auburn","Description:You were returning from a trip to your uncle's hunting camp when one of your friends got bitten by a venomous snake, a Timber rattlesnake. There is no cell phone coverage, and each minute counts with your friend's life on the line! You remember that your uncle kept an anti-venom somewhere in his cabin. You have 60 minutes to find it and save your friend.","1234 Commerce Dr Auburn, AL 36830 (Show on map)"
10,alabama,/auburn,/auburn/quests/auburn-escape-zones-vault,0,"We had a blast! Such a nice, friendly staff! Challenging but fun adventure for the whole family!","Escape room ""Vault"" by Auburn Escape Zones in Auburn",Description:It’s Grand Opening day at the new branch and people are enjoying their bank tours.  Suddenly and alarm sounds and the vault door seals with visitors inside.  The alarm company has provided a way to bypass everything but the same problem that caused the alarm is preventing them from being able to call you.  Search out the clues and work together to open the vault door before time runs out.,"1234 Commerce Dr Auburn, AL 36830 (Show on map)"
11,alabama,/auburn,/auburn/quests/auburn-escape-zones-vault,1,"It was extremely challenging, the perfect birthday gift for my boyfriend!!!!","Escape room ""Vault"" by Auburn Escape Zones in Auburn",Description:It’s Grand Opening day at the new branch and people are enjoying their bank tours.  Suddenly and alarm sounds and the vault door seals with visitors inside.  The alarm company has provided a way to bypass everything but the same problem that caused the alarm is preventing them from being able to call you.  Search out the clues and work together to open the vault door before time runs out.,"1234 Commerce Dr Auburn, AL 36830 (Show on map)"
12,alabama,/auburn,/auburn/quests/auburn-escape-zones-vault,2,"Auburn Escape Zones is so much fun!! Corrie and Sarah T. are so cool and super sweet! The rooms are so much fun and will puzzle you with all the different clues. Me and some friends have done every room and I would recommend every one of them!! Such a cool thing to do whether it’s rain, shine, or snow.","Escape room ""Vault"" by Auburn Escape Zones in Auburn",Description:It’s Grand Opening day at the new branch and people are enjoying their bank tours.  Suddenly and alarm sounds and the vault door seals with visitors inside.  The alarm company has provided a way to bypass everything but the same problem that caused the alarm is preventing them from being able to call you.  Search out the clues and work together to open the vault door before time runs out.,"1234 Commerce Dr Auburn, AL 36830 (Show on map)"
13,alabama,/auburn,/auburn/quests/auburn-escape-zones-the-puzzler-vs-superheroes,0,"We were in Auburn for a Travel Softball tournament and looking for something different to do! Did we find it at Auburn Escape Zones! It was fun, entertaining and full of laughs! Great family evening or team event! The staff really tried to make it enjoyable for us! If we are ever in Auburn again, we will be back!!!","Escape room ""The Puzzler vs Superheroes"" by Auburn Escape Zones in Auburn","Description:The Puzzler is up to his old tricks again! He has designed an evil device that drains power from all superheroes. You've learned the secret location of his warehouse and plan to break in and demolish the capacitor. But the crafty Puzzler has a surprise up his sleeve! Can you solve his twisted games?
Meanwhile, the villains must unite and meet outside of the Puzzler's warehouse to help him pull off the scheme and prevent the superheroes from ever using their nasty powers ever again!
There are two identical rooms available at the location. The second one is called Supervillains and the Puzzler. These rooms can be booked simultaneously or independently. Each room can hold up from two to five people.","1234 Commerce Dr Auburn, AL 36830 (Show on map)"
14,alabama,/auburn,/auburn/quests/auburn-escape-zones-the-puzzler-vs-superheroes,1,"We've completed Imprisoned, The Cabin and the Superheroes vs Puzzler escape rooms and have had so much fun with each one. Imprisoned was our favorite, Superheroes was a close 2nd. Can't wait for the next theme! We've been twice with our Girl Scout Troop and once has a family. Fun, great way to work on communication and teamwork. I highly recommend Auburn Escape Zones. Well worth the trip (we drive 45 minutes to visit). The staff is friendly and courteous.","Escape room ""The Puzzler vs Superheroes"" by Auburn Escape Zones in Auburn","Description:The Puzzler is up to his old tricks again! He has designed an evil device that drains power from all superheroes. You've learned the secret location of his warehouse and plan to break in and demolish the capacitor. But the crafty Puzzler has a surprise up his sleeve! Can you solve his twisted games?
Meanwhile, the villains must unite and meet outside of the Puzzler's warehouse to help him pull off the scheme and prevent the superheroes from ever using their nasty powers ever again!
There are two identical rooms available at the location. The second one is called Supervillains and the Puzzler. These rooms can be booked simultaneously or independently. Each room can hold up from two to five people.","1234 Commerce Dr Auburn, AL 36830 (Show on map)"
15,alabama,/auburn,/auburn/quests/auburn-escape-zones-the-puzzler-vs-superheroes,2,I've been too Auburn Escape Zones twice! We did the Cabin Room first and last week we tried out the Super Hero Room. Both are very challenging but very fun. I highly recommend you to check out this cool place!,"Escape room ""The Puzzler vs Superheroes"" by Auburn Escape Zones in Auburn","Description:The Puzzler is up to his old tricks again! He has designed an evil device that drains power from all superheroes. You've learned the secret location of his warehouse and plan to break in and demolish the capacitor. But the crafty Puzzler has a surprise up his sleeve! Can you solve his twisted games?
Meanwhile, the villains must unite and meet outside of the Puzzler's warehouse to help him pull off the scheme and prevent the superheroes from ever using their nasty powers ever again!
There are two identical rooms available at the location. The second one is called Supervillains and the Puzzler. These rooms can be booked simultaneously or independently. Each room can hold up from two to five people.","1234 Commerce Dr Auburn, AL 36830 (Show on map)"
16,alabama,/auburn,/auburn/quests/auburn-escape-zones-black-beards-brig,0,Had my son's birthday party here and they were very accommodating to everyone in the group. They completed the pirate room and had a great time.We can't wait to go back with friends.,"Escape room ""Black Beard's Brig"" by Auburn Escape Zones in Auburn","Description:Ahoy Matey! Your crew has been captured by Black Beard's pirates! For the next 60 minutes, they'll be away on another ship to pillage and plunder. Locked inside the brig, you have an hour before the pirates return and make you walk the plank. Can you find a way escape or will you face a watery grave?
The game difficulty can be simplified for younger audiences.","1234 Commerce Dr Auburn, AL 36830 (Show on map)"
17,alabama,/auburn,/auburn/quests/auburn-escape-zones-black-beards-brig,1,"My first escape room was the Pirate room and it absolutely got me hooked. Even as a new player, I was able to contribute and we successfully escaped the room. When I had gained more experience, we came back for the cabin room and it was a blast. The decor and immersive story really enhance the experience overall and it is my favorite room so far. ","Escape room ""Black Beard's Brig"" by Auburn Escape Zones in Auburn","Description:Ahoy Matey! Your crew has been captured by Black Beard's pirates! For the next 60 minutes, they'll be away on another ship to pillage and plunder. Locked inside the brig, you have an hour before the pirates return and make you walk the plank. Can you find a way escape or will you face a watery grave?
The game difficulty can be simplified for younger audiences.","1234 Commerce Dr Auburn, AL 36830 (Show on map)"
